2020-12-06 14:50:44,376 INFO    MainThread:12764 [wandb_setup.py:_flush():70] setting env: {}
2020-12-06 14:50:44,377 INFO    MainThread:12764 [wandb_setup.py:_flush():70] multiprocessing start_methods=spawn
2020-12-06 14:50:44,377 INFO    MainThread:12764 [wandb_setup.py:_flush():70] setting login settings: {}
2020-12-06 14:50:44,377 INFO    MainThread:12764 [wandb_init.py:_log_setup():303] Logging user logs to D:\2020-2\비즈니스애널리틱스\논문리뷰\Simple-and-Scalable-Predictive-Uncertainty-Estimation-using-Deep-Ensembles\wandb\run-20201206_145044-4wglkx3c\logs\debug.log
2020-12-06 14:50:44,378 INFO    MainThread:12764 [wandb_init.py:_log_setup():304] Logging internal logs to D:\2020-2\비즈니스애널리틱스\논문리뷰\Simple-and-Scalable-Predictive-Uncertainty-Estimation-using-Deep-Ensembles\wandb\run-20201206_145044-4wglkx3c\logs\debug-internal.log
2020-12-06 14:50:46,719 INFO    MainThread:12764 [wandb_run.py:_console_start():1218] atexit reg
2020-12-06 14:50:46,719 INFO    MainThread:12764 [wandb_run.py:_redirect():1085] redirect: SettingsConsole.WRAP
2020-12-06 14:50:46,720 INFO    MainThread:12764 [wandb_run.py:_redirect():1116] Wrapping output streams.
2020-12-06 14:50:46,720 INFO    MainThread:12764 [wandb_run.py:_redirect():1132] Redirects installed.
2020-12-06 14:50:46,720 INFO    MainThread:12764 [wandb_run.py:_config_callback():547] config_cb None None {'_wandb': {'cli_version': '0.10.11', 'python_version': '3.7.6', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'learning_rate': 0.001, 'epoch': 300, 'batch_size': 100, 'gpu_device': 0, 'test': 2, 'experiment': '1206', 'seed': 1}
2020-12-06 14:50:47,906 INFO    MainThread:12764 [wandb_watch.py:watch():35] Watching
